antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.01615,0.017,0.0108,0.6687306501547987,39.337097067929335,1.0,0.01052545,2.9673738317757006,0.9905765144114486,0.4832214765100672,0.6630016786925724,0.6520123839009287
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.017,0.01615,0.0108,0.6352941176470588,39.337097067929335,1.0,0.01052545,2.697653225806451,0.9914330658226895,0.4832214765100672,0.6293074326849203,0.6520123839009287
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",0.023,0.01405,0.01265,0.55,39.14590747330961,1.0,0.01232685,2.1910000000000003,0.9973946217549083,0.5184426229508197,0.5435874030123232,0.7251779359430606
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'PINK REGENCY TEACUP AND SAUCER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.01405,0.023,0.01265,0.900355871886121,39.145907473309606,1.0,0.01232685,9.804892857142855,0.9883407327496785,0.5184426229508197,0.8980101042846683,0.7251779359430606
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",0.0173,0.01895,0.01265,0.7312138728323699,38.586484054478625,1.0,0.012322165,3.6499279569892473,0.9912325121841052,0.5360169491525423,0.72602198953404,0.699380023487425
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.01895,0.0173,0.01265,0.6675461741424802,38.586484054478625,1.0,0.012322165,2.955899206349206,0.992899637860782,0.5360169491525423,0.6616934711941388,0.699380023487425
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.0173,0.023,0.01445,0.8352601156069364,36.31565720030158,1.0,0.0140521,5.9305614035087695,0.9895834617076109,0.5589941972920695,0.8313818992906207,0.7317604925860768
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.023,0.0173,0.01445,0.6282608695652173,36.31565720030158,1.0,0.0140521,2.643520467836257,0.9953568759673176,0.5589941972920695,0.6217165661597815,0.7317604925860768
"frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})","frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})",0.01645,0.0182,0.0108,0.6565349544072949,36.073349143257964,1.0,0.01050061,2.8585150442477882,0.9885401898263471,0.4528301886792453,0.6501680122298787,0.6249707739069441
"frozenset({'WOOD S/3 CABINET ANT WHITE FINISH', 'WOODEN FRAME ANTIQUE WHITE '})","frozenset({'WOOD 2 DRAWER CABINET WHITE FINISH', 'WOODEN PICTURE FRAME WHITE FINISH'})",0.0182,0.01645,0.0108,0.5934065934065934,36.07334914325796,1.0,0.01050061,2.4190013513513513,0.9903022038131022,0.4528301886792453,0.5866062664903599,0.6249707739069441
frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),0.0176,0.01905,0.0117,0.6647727272727273,34.89620615604868,1.0,0.01136472,2.9262237288135595,0.9887455107324814,0.46893787575150303,0.6582626303814948,0.639472977809592
frozenset({'BLUE STRIPE CERAMIC DRAWER KNOB'}),frozenset({'RED STRIPE CERAMIC DRAWER KNOB'}),0.01905,0.0176,0.0117,0.6141732283464567,34.89620615604868,1.0,0.01136472,2.546220408163266,0.9902070337362656,0.46893787575150303,0.6072610223396343,0.639472977809592
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.02525,0.01445,0.01265,0.500990099009901,34.670595087190385,1.0,0.0122851375,1.9750109126984128,0.9963140442416064,0.46765249537892795,0.49367368373994314,0.688211312480729
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.01445,0.02525,0.01265,0.8754325259515571,34.67059508719038,1.0,0.0122851375,7.8250763888888875,0.9853960880975149,0.46765249537892795,0.872205720391441,0.688211312480729
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.01445,0.023,0.0115,0.7958477508650519,34.602076124567475,1.0,0.01116765,4.78564406779661,0.9853381360661558,0.4431599229287091,0.7910417101996436,0.6479238754325259
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",0.023,0.01445,0.0115,0.5,34.602076124567475,1.0,0.01116765,1.9711,0.9939611054247698,0.4431599229287091,0.4926690680330779,0.6479238754325259
"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.0135,0.02525,0.0115,0.8518518518518519,33.73670700403373,1.0,0.011159124999999999,6.579562500000001,0.9836378060336277,0.4220183486238532,0.8480142106713022,0.6536486982031536
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'REGENCY CAKESTAND 3 TIER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.02525,0.0135,0.0115,0.4554455445544554,33.73670700403373,1.0,0.011159124999999999,1.8115727272727271,0.9954949429619635,0.4220183486238532,0.4479934562133354,0.6536486982031536
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.023,0.02525,0.01895,0.823913043478261,32.6302195436935,1.0,0.01836925,5.5356172839506215,0.9921735537413275,0.6467576791808874,0.819351673227249,0.7872040464916057
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.02525,0.023,0.01895,0.7504950495049505,32.6302195436935,1.0,0.01836925,3.915753968253968,0.9944637722547083,0.6467576791808874,0.7446213403326003,0.7872040464916057
